O*NET-SOC Code,Title,A: Arm-Hand Steadiness,A: Auditory Attention,A: Category Flexibility,A: Control Precision,A: Deductive Reasoning,A: Depth Perception,A: Dynamic Flexibility,A: Dynamic Strength,A: Explosive Strength,A: Extent Flexibility,A: Far Vision,A: Finger Dexterity,A: Flexibility of Closure,A: Fluency of Ideas,A: Glare Sensitivity,A: Gross Body Coordination,A: Gross Body Equilibrium,A: Hearing Sensitivity,A: Inductive Reasoning,A: Information Ordering,A: Manual Dexterity,A: Mathematical Reasoning,A: Memorization,A: Multilimb Coordination,A: Near Vision,A: Night Vision,A: Number Facility,A: Oral Comprehension,A: Oral Expression,A: Originality,A: Perceptual Speed,A: Peripheral Vision,A: Problem Sensitivity,A: Rate Control,A: Reaction Time,A: Response Orientation,A: Selective Attention,A: Sound Localization,A: Spatial Orientation,A: Speech Clarity,A: Speech Recognition,A: Speed of Closure,A: Speed of Limb Movement,A: Stamina,A: Static Strength,A: Time Sharing,A: Trunk Strength,A: Visual Color Discrimination,A: Visualization,A: Wrist-Finger Speed,A: Written Comprehension,A: Written Expression,S: Active Learning,S: Active Listening,S: Complex Problem Solving,S: Coordination,S: Critical Thinking,S: Equipment Maintenance,S: Equipment Selection,S: Installation,S: Instructing,S: Judgment and Decision Making,S: Learning Strategies,S: Management of Financial Resources,S: Management of Material Resources,S: Management of Personnel Resources,S: Mathematics,S: Monitoring,S: Negotiation,S: Operation and Control,S: Operations Analysis,S: Operations Monitoring,S: Persuasion,S: Programming,S: Quality Control Analysis,S: Reading Comprehension,S: Repairing,S: Science,S: Service Orientation,S: Social Perceptiveness,S: Speaking,S: Systems Analysis,S: Systems Evaluation,S: Technology Design,S: Time Management,S: Troubleshooting,S: Writing,Final_Cluster,Avg_Cluster_Labels,Ward_Cluster_Labels,Ward_Cluster
13-2082.00,Tax Preparers,0.5,0.75,3.0,0.12,3.88,0.0,0.0,0.0,0.0,0.0,1.88,1.25,2.88,3.0,0.0,0.0,0.0,0.75,3.0,3.12,0.38,3.12,2.0,0.0,3.88,0.0,3.62,4.0,4.0,3.0,2.5,0.0,3.0,0.0,0.0,0.0,2.88,0.0,0.0,3.0,3.0,2.25,0.0,0.0,0.0,2.0,0.62,1.12,1.75,1.12,4.0,3.0,3.06,3.94,2.94,2.815,3.56,0.5,0.5,0.5,2.815,3.06,2.815,1.25,1.0,1.875,3.0,3.0,2.5,0.5,1.375,0.6200000000000001,2.62,1.0,1.185,4.0,0.5,0.5,3.0,2.815,3.31,2.565,2.0,0.94,3.06,0.5,3.0,2,2,6,6
13-2099.01,Financial Quantitative Analysts,0.5,1.25,3.88,0.62,4.75,0.75,0.0,0.25,0.0,0.0,2.38,0.62,3.0,3.88,0.0,0.0,0.0,1.5,4.5,3.88,0.5,5.0,2.25,0.0,3.38,0.0,4.75,5.0,4.12,3.62,2.5,0.0,4.0,0.0,0.0,0.0,2.88,0.0,0.0,3.5,3.75,2.62,0.0,0.0,0.0,1.88,1.62,1.88,2.0,1.0,4.88,4.0,3.815,3.875,4.0,3.0,4.4350000000000005,0.5,0.5,0.5,3.125,4.0,3.0,2.94,1.94,2.62,4.69,3.06,2.88,0.6200000000000001,1.94,1.625,3.25,2.62,1.565,4.375,0.5,1.63,2.88,3.0,3.875,3.5,3.565,1.63,3.0,0.6200000000000001,3.75,0,0,2,2
13-2099.04,"Fraud Examiners, Investigators and Analysts",0.38,2.0,3.0,0.5,4.0,0.88,0.0,0.25,0.0,0.0,3.0,0.75,3.38,3.75,0.0,0.0,0.0,1.88,4.0,3.62,0.38,3.12,2.62,0.25,4.12,0.0,3.0,4.25,4.12,3.0,2.12,0.0,4.0,0.0,0.0,0.0,3.12,0.0,0.0,3.75,3.62,2.38,0.0,0.0,0.0,2.88,1.12,1.88,2.0,0.5,4.12,4.25,3.75,4.1850000000000005,3.94,3.62,4.125,0.5,0.5,0.5,3.0,3.94,2.94,1.94,1.94,3.06,2.94,3.185,3.12,1.0,0.815,1.75,3.315,1.375,0.5,4.0,0.5,0.5,3.0,3.38,4.0,2.935,2.75,0.8799999999999999,3.185,0.5,4.12,0,0,2,2
15-1211.00,Computer Systems Analysts,1.62,2.0,3.75,1.88,4.12,0.62,0.0,0.25,0.0,0.5,3.0,2.75,3.12,4.0,0.0,0.0,0.0,1.88,4.12,4.0,1.38,3.5,2.75,0.12,4.0,0.0,3.25,4.5,4.38,3.62,3.0,0.0,4.12,0.12,0.25,0.0,3.0,0.0,0.0,3.12,3.5,3.25,0.0,0.0,0.0,2.12,1.38,2.38,3.62,0.88,4.25,4.0,3.81,3.875,3.69,3.185,3.875,1.44,2.315,1.185,3.25,3.87,3.06,2.06,1.875,2.94,3.19,3.69,2.5,2.5,3.375,3.06,2.875,3.625,3.25,4.19,1.565,2.065,3.0,3.12,4.0,3.875,3.935,3.0,3.25,3.5,3.69,0,0,0,0
15-1211.01,Health Informatics Specialists,1.88,2.0,4.0,1.88,4.5,1.62,0.0,0.25,0.0,0.0,2.88,1.88,3.12,4.0,0.0,0.0,0.0,2.0,4.12,4.0,1.75,3.0,2.75,0.0,3.88,0.0,3.0,4.88,4.75,4.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.75,3.62,2.62,0.0,0.0,0.0,2.38,1.25,2.0,3.0,0.75,4.88,4.38,4.25,4.0600000000000005,4.12,3.625,4.0600000000000005,0.5,1.625,0.94,3.63,3.94,3.875,2.12,2.0,3.06,3.0,3.81,3.0,1.185,2.815,2.56,3.31,3.0,2.875,4.63,0.5,2.06,3.31,3.37,4.0,3.875,4.0,2.815,3.315,2.12,4.0,0,0,0,0
15-1212.00,Information Security Analysts,1.75,1.5,3.62,1.5,4.12,0.75,0.0,0.5,0.0,0.75,2.75,2.12,3.5,3.75,0.0,0.0,0.0,1.75,4.12,3.88,1.62,2.88,2.75,0.0,3.88,0.0,2.75,4.25,4.12,3.25,3.0,0.0,4.12,0.0,0.0,0.12,3.12,0.0,0.0,3.0,3.12,3.0,0.0,0.12,0.0,2.88,1.0,1.88,3.0,0.38,4.12,4.0,3.565,3.815,3.685,3.0,4.0,1.25,1.375,1.0,3.0,3.5,3.0,1.435,1.375,2.88,2.315,3.63,2.685,1.315,2.5,3.06,2.75,2.435,3.06,4.0600000000000005,1.185,1.75,2.815,2.75,3.685,3.38,3.19,2.12,3.12,2.0,3.625,0,0,0,0
15-1221.00,Computer and Information Research Scientists,1.75,1.38,4.38,2.0,4.88,0.75,0.0,0.0,0.0,0.0,2.62,2.88,3.25,4.12,0.0,0.0,0.0,1.5,4.62,4.25,1.62,4.25,2.88,0.0,4.0,0.0,3.75,4.75,4.75,4.38,3.0,0.0,4.25,0.0,0.0,0.12,3.0,0.0,0.0,3.25,3.25,3.0,0.0,0.0,0.0,2.12,1.38,2.0,3.62,1.0,4.38,4.25,4.19,3.935,4.19,3.375,4.125,0.685,1.815,0.5,3.19,4.3100000000000005,3.25,2.69,2.435,3.25,3.88,3.56,2.56,1.875,3.5,2.685,3.125,4.0600000000000005,2.5,4.125,0.685,3.25,2.815,3.06,3.81,4.065,4.25,3.62,3.63,2.69,3.75,0,0,0,0
15-1231.00,Computer Network Support Specialists,2.62,2.38,3.38,2.12,4.0,1.88,0.0,0.0,0.0,1.38,2.75,2.88,3.0,3.5,0.0,0.0,0.0,1.88,3.62,3.75,2.25,2.38,2.75,2.0,3.25,0.0,2.5,4.25,4.0,3.12,2.5,0.0,3.5,0.0,0.0,0.0,3.12,0.25,0.12,3.0,3.12,2.62,0.0,0.0,1.25,2.25,0.25,2.88,3.25,0.5,4.0,3.75,3.315,3.56,3.25,2.75,3.75,2.685,2.625,2.935,2.935,3.38,2.935,1.125,1.81,2.25,2.37,3.435,2.125,2.06,1.88,3.06,2.435,2.0,3.0,3.63,2.94,1.69,2.69,2.88,3.375,3.25,3.125,2.0,2.81,3.12,3.25,2,2,8,8
15-1232.00,Computer User Support Specialists,2.62,1.75,3.0,2.0,3.5,0.75,0.0,0.62,0.25,1.62,2.38,2.88,2.88,3.0,0.0,0.38,0.12,1.0,3.5,3.62,2.25,2.38,2.62,1.62,3.75,0.0,2.12,4.0,4.0,3.0,3.0,0.0,3.62,0.62,0.62,0.75,2.88,0.0,0.12,3.25,3.25,2.75,0.0,0.38,1.88,2.5,1.75,1.88,2.88,2.0,4.0,3.75,3.185,4.0,3.435,2.88,3.815,2.06,1.815,2.185,3.31,3.125,3.12,1.12,1.44,2.38,2.125,3.06,2.38,2.88,2.5,2.94,2.5,2.125,2.94,4.0,2.06,1.5,3.12,2.935,4.0,3.0,2.94,1.81,3.0,2.94,3.31,2,2,8,8
15-1241.00,Computer Network Architects,1.75,1.88,4.0,2.0,4.12,1.5,0.0,0.25,0.0,0.88,2.75,2.0,3.12,3.88,0.0,0.0,0.0,2.0,4.0,4.12,1.75,3.25,2.75,0.0,3.88,0.0,3.0,4.38,4.12,3.62,3.0,0.0,3.88,0.38,0.25,0.0,3.0,0.0,0.12,3.12,2.88,2.75,0.0,0.0,0.0,2.38,2.0,2.88,3.12,1.62,4.5,4.12,3.565,3.815,4.0,3.56,4.12,2.125,2.685,1.625,3.375,3.875,3.06,2.56,2.38,2.875,3.25,3.25,3.06,2.5,3.065,3.0,3.125,3.75,3.435,4.0600000000000005,2.0,2.0,3.06,3.0,3.69,3.815,3.88,3.25,3.12,3.25,3.685,0,0,0,0
15-1241.01,Telecommunications Engineering Specialists,2.75,2.25,3.12,2.12,4.0,1.5,0.0,0.62,0.0,2.38,3.0,3.0,3.12,3.25,0.0,0.88,0.88,2.75,3.38,3.75,2.62,3.0,2.5,1.38,3.88,0.12,3.0,4.12,4.0,3.25,3.0,0.0,3.88,0.0,0.12,0.12,3.0,0.5,0.75,3.5,3.12,2.5,0.0,1.5,0.75,2.5,1.75,3.0,2.88,0.5,3.88,3.88,3.565,3.75,3.25,3.19,3.685,2.685,2.375,1.935,2.875,3.12,2.88,2.185,2.38,2.75,3.0,3.12,2.75,2.12,2.25,3.06,3.06,2.19,3.0,3.75,2.375,1.63,3.0,3.12,3.435,3.185,3.185,2.685,3.0,2.94,3.5,2,2,8,8
15-1242.00,Database Administrators,1.88,1.75,3.88,1.5,4.12,0.38,0.0,0.25,0.0,0.0,2.75,1.62,3.38,3.62,0.0,0.0,0.0,1.0,4.12,4.12,1.12,3.12,2.62,0.0,3.75,0.0,3.0,4.12,4.25,3.5,3.0,0.0,3.88,0.0,0.12,0.38,3.0,0.0,0.0,3.0,3.25,3.0,0.0,0.12,0.0,2.0,1.12,1.75,3.0,0.5,4.12,4.12,3.81,3.815,4.0,3.06,3.94,0.5,1.19,0.94,3.375,3.875,3.125,1.565,1.75,2.875,3.25,3.565,2.0,1.19,3.185,2.815,2.685,3.63,2.5,4.0,0.6200000000000001,1.875,2.94,2.94,3.63,3.5,3.56,2.38,2.88,2.5,3.565,0,0,0,0
15-1243.00,Database Architects,1.12,1.25,3.62,1.0,4.38,1.12,0.0,0.25,0.0,0.0,2.5,1.12,3.12,3.75,0.0,0.0,0.0,1.75,4.0,4.12,1.12,3.25,2.38,0.0,4.0,0.0,3.12,4.5,4.0,3.88,3.0,0.0,3.88,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,2.88,0.0,0.0,0.0,2.12,1.5,1.5,3.0,1.5,4.0,3.88,3.435,3.625,3.94,3.06,3.88,0.6200000000000001,1.185,1.185,3.25,3.88,2.94,1.625,1.625,2.625,3.06,3.37,2.75,1.565,3.25,2.12,2.94,3.75,1.94,4.0,0.6200000000000001,1.815,3.0,3.0,3.69,3.75,3.5,3.0,3.0,2.0,3.5,0,0,0,0
15-1243.01,Data Warehousing Specialists,0.38,1.25,3.5,0.0,4.0,0.88,0.0,0.75,0.0,0.0,2.38,0.25,3.0,3.25,0.0,0.0,0.0,1.38,3.88,4.0,0.0,3.12,2.5,0.0,3.88,0.0,3.25,4.0,4.0,3.25,2.88,0.0,3.5,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.25,2.5,0.12,0.0,0.0,1.75,1.75,1.75,2.75,1.38,4.0,4.0,3.125,3.56,3.56,3.25,3.88,0.685,1.19,0.5,3.0,3.5,2.685,1.565,1.75,2.06,3.125,3.0,2.62,1.75,3.065,2.375,2.935,3.75,2.315,3.94,0.685,1.565,2.62,3.0,3.5,3.5,3.375,2.685,2.815,1.31,3.315,0,0,0,0
15-1244.00,Network and Computer Systems Administrators,2.5,2.12,3.62,2.12,4.0,2.0,0.0,0.38,0.0,2.0,3.12,2.75,3.5,3.75,0.0,0.0,0.0,2.12,4.0,4.0,2.12,3.12,2.75,1.38,3.88,0.0,3.0,4.25,4.0,3.62,3.0,0.0,4.0,1.25,1.25,1.38,3.5,0.0,0.0,3.0,3.12,2.88,0.0,0.0,0.0,2.25,0.88,3.0,3.5,1.88,4.12,3.75,3.435,3.815,3.875,3.0,3.88,3.25,3.065,2.25,3.25,3.88,3.185,1.94,2.75,3.0,3.19,3.815,2.69,3.31,3.185,3.565,2.875,3.75,3.5,3.94,3.06,2.375,3.0,3.0,3.63,3.88,3.935,2.875,3.435,3.875,3.435,0,0,0,0
15-1251.00,Computer Programmers,1.12,1.5,3.12,1.12,3.88,0.88,0.0,0.38,0.0,0.0,2.25,1.88,3.12,3.38,0.0,0.0,0.0,1.12,3.88,4.0,1.0,3.12,2.12,0.0,3.88,0.0,3.12,4.0,3.75,3.25,2.88,0.0,3.75,0.0,0.0,0.0,3.12,0.0,0.0,3.12,3.0,2.12,0.0,0.0,0.0,2.12,0.75,2.0,2.75,0.62,4.0,3.75,3.185,3.875,3.815,2.94,3.815,0.5,0.5,0.815,2.81,3.25,2.5,1.75,1.625,2.685,3.12,3.06,2.12,0.685,3.435,2.185,2.685,4.815,3.5,3.44,0.5,2.75,2.565,3.06,3.25,3.315,3.37,2.565,3.12,1.935,3.25,0,0,0,0
15-1252.00,Software Developers,1.25,1.38,3.75,0.88,4.0,0.75,0.0,0.5,0.0,0.0,2.38,1.12,2.5,3.62,0.0,0.0,0.0,1.38,3.88,3.88,0.88,3.38,2.12,0.0,3.75,0.0,2.75,4.12,4.12,3.38,2.75,0.0,3.88,0.0,0.0,0.25,2.88,0.0,0.0,3.25,3.25,2.38,0.0,0.0,0.0,1.88,1.25,2.0,2.38,1.5,4.38,4.0,3.56,3.63,3.44,3.06,4.0,0.75,1.935,1.44,3.0,3.685,2.87,1.375,1.31,2.435,3.0,3.25,2.75,1.875,3.185,2.565,2.935,4.0600000000000005,2.75,3.875,0.685,2.0,2.94,3.13,3.37,3.69,3.75,3.5,3.185,2.5,3.435,0,0,0,0
15-1253.00,Software Quality Assurance Analysts and Testers,1.62,2.0,3.12,1.5,4.0,0.62,0.0,0.38,0.0,0.0,2.5,2.0,3.38,3.12,0.0,0.0,0.0,1.75,4.0,4.0,1.88,3.0,2.25,0.0,3.62,0.0,2.38,4.12,4.12,3.0,3.12,0.0,4.12,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.12,2.5,0.0,0.0,0.0,2.5,1.38,1.88,2.75,1.0,4.12,3.88,3.12,3.94,3.25,3.0,3.88,0.5,1.435,1.875,2.75,3.37,2.94,1.06,1.06,2.06,2.75,3.685,2.12,1.63,3.25,2.81,2.56,3.685,3.5,4.0600000000000005,0.6200000000000001,2.935,2.625,2.88,3.94,3.06,3.375,2.62,3.0,2.94,3.815,0,0,0,0
15-1254.00,Web Developers,1.88,1.75,3.5,1.62,4.0,0.75,0.0,0.38,0.0,0.0,2.5,3.0,3.38,3.62,0.0,0.0,0.0,1.5,3.38,3.75,2.0,2.88,2.38,0.0,4.0,0.0,3.0,4.0,4.0,3.62,3.12,0.0,3.75,0.0,0.0,0.12,3.25,0.0,0.0,3.12,3.62,3.12,0.0,0.0,0.0,1.75,1.12,2.5,3.62,1.0,3.88,3.62,3.56,3.5,3.62,3.0,3.815,0.5,2.0,0.875,3.0,3.38,3.0,1.5,1.625,2.315,2.815,3.19,2.75,1.12,3.81,2.185,3.0,4.1850000000000005,2.75,3.81,0.5,2.125,2.88,2.815,3.25,3.25,3.125,2.44,2.94,2.37,3.31,0,0,0,0
15-1255.01,Video Game Designers,2.12,1.12,3.38,2.12,3.88,0.62,0.0,0.12,0.0,0.0,3.0,2.38,3.12,4.12,0.0,0.0,0.0,2.12,4.0,3.88,2.0,3.0,2.75,0.0,4.0,0.0,3.0,4.0,4.0,4.12,2.88,0.0,3.88,0.0,0.0,0.0,3.75,0.0,0.0,3.12,3.25,2.88,0.0,0.0,0.0,2.62,0.88,3.12,3.75,0.62,3.88,3.88,3.56,3.88,3.75,3.31,3.815,0.5,0.6200000000000001,0.6200000000000001,3.065,3.62,2.94,1.63,1.69,2.875,3.0,3.37,3.0,0.5,3.0,2.375,3.06,3.94,1.94,3.875,0.5,0.94,2.75,3.06,3.5,3.315,3.435,3.0,3.44,0.6200000000000001,3.565,0,0,0,0
15-1299.01,Web Administrators,1.62,1.38,3.25,1.62,4.0,0.75,0.0,0.12,0.0,0.0,2.75,2.75,3.12,3.12,0.0,0.0,0.0,1.38,3.88,3.75,1.88,3.0,3.0,0.0,3.88,0.0,2.88,4.25,4.12,3.25,2.88,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.12,3.12,2.88,0.0,0.0,0.0,1.88,0.88,2.12,2.88,0.38,4.12,3.88,3.435,3.815,3.815,3.125,4.0600000000000005,0.6200000000000001,1.565,1.31,3.31,3.38,3.0,1.875,1.63,2.37,2.12,3.44,2.625,1.435,3.125,2.315,2.56,3.0,3.25,4.0,0.6200000000000001,2.25,2.88,2.94,3.375,3.315,3.38,2.315,3.06,2.75,3.315,0,0,0,0
15-1299.02,Geographic Information Systems Technologists and Technicians,1.62,1.62,3.38,1.38,3.88,0.62,0.0,0.75,0.0,0.0,2.75,1.5,3.38,3.0,0.0,0.0,0.0,1.38,3.62,3.62,1.5,3.5,2.25,0.0,3.88,0.0,3.12,4.0,4.25,3.0,2.5,0.0,3.5,0.0,0.0,0.12,2.88,0.12,0.88,3.12,3.38,2.62,0.0,0.0,0.0,2.12,1.38,2.12,3.25,1.62,4.0,3.5,3.06,3.44,3.25,3.0,3.685,0.5,0.815,0.5,2.63,3.185,2.685,1.185,1.185,2.685,3.125,3.0,2.06,1.19,1.565,2.0,2.56,3.0,1.0,3.94,0.5,1.81,2.685,2.81,3.44,2.685,2.38,1.63,2.815,0.685,3.185,0,0,0,0
15-1299.03,Document Management Specialists,1.88,1.38,3.25,1.75,3.62,0.75,0.0,0.0,0.0,0.0,2.62,2.25,3.0,3.0,0.0,0.0,0.0,1.75,3.62,3.88,1.75,2.62,2.38,0.0,3.88,0.0,2.62,4.0,4.0,3.0,2.75,0.0,3.62,0.0,0.0,0.0,3.0,0.0,0.0,3.25,3.12,2.62,0.0,0.0,0.0,2.62,0.62,2.12,2.88,0.25,4.0,4.0,3.25,3.815,3.62,3.0,3.75,0.5,0.5,0.5,3.0,3.25,3.0,1.81,1.94,2.815,2.25,3.37,2.815,0.5,2.25,1.94,2.88,2.19,1.375,3.88,0.5,0.875,3.0,3.06,3.185,3.5,3.25,1.935,3.25,0.5,3.815,0,0,0,0
15-1299.05,Information Security Engineers,0.75,1.5,3.5,0.5,4.12,1.0,0.0,0.75,0.25,0.38,3.25,0.88,3.5,3.62,0.0,0.25,0.25,1.38,4.0,3.88,0.5,3.0,2.88,0.5,3.62,0.0,2.88,4.25,4.12,3.38,3.25,0.0,3.75,0.38,0.38,0.38,3.25,0.0,0.25,3.38,3.62,2.38,0.0,0.5,0.38,2.12,1.5,2.38,2.62,1.75,4.38,3.88,3.435,4.0,3.5,3.125,4.0600000000000005,1.125,1.875,1.75,3.31,3.375,3.0,1.875,1.875,2.62,2.5,3.75,2.875,1.81,1.94,3.12,3.065,3.25,3.25,4.25,1.565,1.75,2.75,3.125,3.81,3.5,3.565,2.315,2.815,2.5,3.87,0,0,0,0
15-1299.08,Computer Systems Engineers/Architects,1.5,1.88,3.88,1.38,4.12,0.62,0.0,0.25,0.0,0.38,2.75,2.0,3.12,3.88,0.0,0.0,0.0,1.5,4.0,4.0,1.38,3.12,2.88,0.0,3.62,0.0,3.12,4.5,4.0,3.88,3.0,0.0,4.12,0.38,0.38,0.0,3.0,0.0,0.0,3.12,3.12,2.88,0.0,0.0,0.0,2.12,1.12,1.75,3.12,0.62,4.12,4.25,3.87,4.0,3.875,3.06,4.0,1.5,1.81,1.12,3.06,3.69,3.06,2.25,2.06,3.0,3.06,3.69,2.875,1.69,4.065,3.0,2.94,3.875,3.37,4.0,1.375,3.06,3.0,3.0,3.94,3.94,4.0,2.625,3.0,2.5,3.94,0,0,0,0
15-1299.09,Information Technology Project Managers,0.0,1.88,3.75,0.0,4.0,1.12,0.0,0.0,0.0,0.0,2.88,1.5,3.12,3.88,0.0,0.0,0.0,1.75,4.0,3.88,0.0,3.12,2.75,0.0,3.88,0.0,3.12,4.12,4.0,3.25,2.75,0.0,4.0,0.0,0.0,0.0,2.88,0.12,0.0,3.5,3.62,2.88,0.0,0.0,0.0,2.0,0.62,2.0,3.0,0.12,4.25,4.0,3.63,4.0,3.69,4.0600000000000005,4.1850000000000005,0.5,0.5,0.5,3.185,3.685,3.125,3.37,3.37,3.94,3.0,4.0600000000000005,3.565,0.6200000000000001,2.44,2.0,3.37,1.935,2.19,4.0,0.5,1.81,3.185,3.63,3.94,3.75,3.625,2.0,3.94,1.06,4.0,0,0,11,11
15-2011.00,Actuaries,0.0,1.62,4.0,0.0,4.88,1.0,0.0,0.0,0.0,0.0,2.75,0.5,3.38,3.75,0.0,0.0,0.0,1.5,4.62,4.0,0.0,5.0,2.5,0.0,4.12,0.0,4.88,4.75,4.75,3.5,2.88,0.0,4.12,0.0,0.0,0.0,3.38,0.0,0.0,4.0,4.0,2.62,0.0,0.0,0.0,2.12,1.0,1.75,2.62,0.5,4.75,4.0,3.625,4.0600000000000005,4.3100000000000005,3.0,4.5,0.5,0.5,0.5,3.065,4.4350000000000005,3.13,2.685,1.94,2.88,4.625,3.435,3.0,0.5,3.125,1.56,3.25,2.31,1.69,4.5,0.5,2.06,3.0,3.0,4.0,4.25,4.3100000000000005,1.44,3.25,0.5,3.75,0,0,2,2
15-2021.00,Mathematicians,0.0,0.75,4.0,0.0,5.0,0.38,0.0,0.0,0.0,0.0,2.25,1.0,3.75,4.75,0.0,0.0,0.0,0.75,4.88,4.88,0.0,6.0,2.88,0.0,3.75,0.0,5.0,5.12,5.12,4.75,2.88,0.0,3.88,0.0,0.0,0.0,3.0,0.0,0.12,3.12,3.0,3.38,0.0,0.0,0.0,1.5,1.0,0.88,2.88,0.25,5.12,4.88,4.5600000000000005,3.69,4.44,2.94,4.5600000000000005,0.5,0.5,0.5,3.44,3.875,3.565,1.12,1.12,2.06,5.5,3.0,1.94,0.5,2.56,0.8799999999999999,2.815,2.625,1.0,4.5,0.5,4.0600000000000005,1.875,2.94,3.625,3.375,3.31,1.12,2.875,0.5,4.12,0,0,2,2
15-2031.00,Operations Research Analysts,0.0,0.75,4.0,0.0,4.5,0.25,0.0,0.0,0.0,0.0,2.62,0.38,3.25,4.12,0.0,0.0,0.0,0.75,4.62,4.12,0.0,4.75,2.75,0.0,3.75,0.0,4.38,4.75,4.5,4.0,2.5,0.0,4.12,0.0,0.0,0.0,3.0,0.0,0.0,3.25,3.0,2.5,0.0,0.0,0.0,2.0,1.12,1.12,2.62,0.38,4.75,4.0,4.0,4.0,4.3100000000000005,3.12,4.0600000000000005,0.5,0.5,0.5,3.0,4.13,3.0,1.63,1.565,2.62,4.69,3.0,2.25,0.6200000000000001,4.0,1.565,3.0,2.685,1.63,4.125,0.5,3.25,2.815,2.88,4.0,3.88,4.065,1.435,3.06,0.75,4.0,0,0,2,2
15-2041.00,Statisticians,0.0,1.0,3.75,0.0,4.88,0.62,0.0,0.0,0.0,0.0,2.88,1.0,3.12,3.88,0.0,0.0,0.0,1.0,4.88,4.0,0.0,5.0,2.75,0.0,4.0,0.0,5.12,4.88,4.75,3.62,2.88,0.0,3.5,0.0,0.0,0.0,3.0,0.0,0.0,3.62,3.12,2.88,0.0,0.0,0.0,2.0,1.38,1.12,2.75,0.75,4.75,4.88,3.815,3.94,4.0,2.94,4.25,0.5,0.5,0.5,3.0,3.63,3.06,1.44,1.25,2.315,5.13,3.0,2.0,0.5,3.19,1.44,2.56,3.06,1.56,4.44,0.5,3.69,2.185,2.875,4.065,3.06,3.06,1.12,3.0,0.5,4.0,0,0,2,2
15-2041.01,Biostatisticians,0.5,0.75,4.0,0.38,4.88,0.75,0.0,0.0,0.0,0.0,2.62,1.62,3.0,4.0,0.0,0.0,0.0,0.88,5.0,4.25,0.5,5.0,2.88,0.0,3.75,0.0,4.12,5.12,5.12,3.88,2.88,0.0,4.0,0.0,0.0,0.0,2.88,0.0,0.0,4.12,3.88,3.0,0.0,0.0,0.12,1.75,1.0,1.12,3.12,0.5,5.0,4.88,4.44,4.065,4.25,3.0,4.44,0.5,1.06,0.5,3.56,4.19,3.63,1.5,1.375,2.935,4.87,3.31,2.25,0.6200000000000001,3.19,1.185,2.815,3.69,1.5,4.5600000000000005,0.5,4.3100000000000005,2.75,2.88,4.25,3.5,3.435,1.31,3.25,0.5,4.38,0,0,2,2
15-2051.01,Business Intelligence Analysts,0.0,0.75,4.0,0.0,4.5,0.38,0.0,0.25,0.0,0.0,2.62,0.5,3.12,3.88,0.0,0.0,0.0,0.75,4.38,4.0,0.0,3.75,2.25,0.0,3.5,0.0,3.62,4.75,4.75,3.25,2.75,0.0,3.5,0.0,0.0,0.0,3.0,0.0,0.0,3.5,3.38,2.88,0.0,0.0,0.0,2.12,1.12,0.88,2.0,0.62,4.62,4.12,4.0,3.94,3.565,3.0,4.065,0.5,0.5,0.5,3.0,3.81,3.0,1.815,1.5,2.06,3.69,3.185,2.69,0.8799999999999999,1.75,1.435,2.94,2.5,1.75,4.125,0.5,1.185,2.88,2.88,3.94,3.435,3.435,1.25,3.06,0.5,3.875,0,0,2,2
15-2051.02,Clinical Data Managers,0.38,0.88,3.88,0.25,4.25,0.38,0.0,0.38,0.0,0.0,2.5,1.62,3.25,3.5,0.0,0.0,0.0,1.0,3.88,4.0,0.38,3.62,2.62,0.0,3.62,0.0,3.25,4.25,4.12,3.38,3.0,0.0,3.88,0.0,0.0,0.0,3.0,0.0,0.0,3.38,3.38,2.75,0.0,0.0,0.0,1.75,0.88,0.88,2.12,0.88,4.25,4.12,3.81,3.88,3.56,3.38,4.125,0.5,1.69,0.5,3.375,3.435,3.065,1.565,1.69,3.19,3.69,3.87,2.44,1.5,3.065,2.06,2.685,3.435,2.5,4.065,0.5,2.315,2.685,3.31,3.94,3.315,3.25,1.565,3.44,1.12,3.875,0,0,2,2
15-2099.01,Bioinformatics Technicians,0.0,1.5,3.88,0.25,3.75,0.88,0.0,0.0,0.0,0.0,3.0,2.25,3.62,3.5,0.0,0.0,0.0,1.5,3.88,3.62,0.0,4.12,2.88,0.0,4.0,0.0,3.38,4.38,4.38,3.25,3.25,0.0,3.88,0.0,0.0,0.0,3.25,0.0,0.0,3.25,3.5,2.88,0.0,0.0,0.0,2.75,0.0,2.38,3.12,0.38,4.5,4.12,3.69,3.56,3.44,2.94,3.625,0.75,0.685,0.5,3.065,3.5,2.815,1.31,1.31,2.5,3.63,3.375,2.625,0.685,2.12,2.56,2.815,3.06,2.25,4.0,0.75,3.25,2.69,2.94,3.5,3.375,3.25,2.06,3.0,0.75,3.625,0,0,0,0
